"Brand","Model","Price_in_Pounds","Transmission","Fuel_Type","Mileage_in_Miles","Release_Year"
"BMW","i4 eDrive40 M Sport",44670,"Automatic","electric",5421,2024
"BMW","iX2 xDrive30 M Sport",41400,"Automatic","electric",4384,2024
"BMW","i4 eDrive35 Sport",34902,"Automatic","electric",6208,2024
"BMW","i5 eDrive40 M Sport Touring",55992,"Automatic","electric",14307,2024
"BMW","i5 eDrive40 M Sport Pro Saloon",47992,"Automatic","electric",9979,2024
"BMW","iX xDrive40 M Sport",54000,"Automatic","electric",12989,2024
"BMW","i5 eDrive40 M Sport Pro Touring",52800,"Automatic","electric",4408,2024
"BMW","iX xDrive40 M Sport",55995,"Automatic","electric",5000,2024
"BMW","i4 eDrive40 M Sport",51500,"Automatic","electric",10502,2024
"BMW","i5 eDrive40 M Sport Pro Saloon",53000,"Automatic","electric",8480,2024
"BMW","iX xDrive40 M Sport",48000,"Automatic","electric",7656,2024
"BMW","i4 M50",60000,"Automatic","electric",10251,2024
"BMW","i7 eDrive50 M Sport",74995,"Automatic","electric",3262,2024
"BMW","iX xDrive40 M Sport",53880,"Automatic","electric",10500,2024
"BMW","iX2 xDrive30 M Sport",40500,"Automatic","electric",3000,2024
"BMW","i5 eDrive40 M Sport Pro Saloon",43500,"Automatic","electric",8480,2024
"BMW","iX1 eDrive20 M Sport",43500,"Automatic","electric",3737,2024
"BMW","iX1 eDrive20 M Sport",37000,"Automatic","electric",5681,2024
"BMW","i5 eDrive40 M Sport Pro Touring",55816,"Automatic","electric",4000,2024
"BMW","i5 eDrive40 M Sport Pro Touring",58888,"Automatic","electric",7900,2024
"BMW","iX2 xDrive30 M Sport",34995,"Automatic","electric",12235,2024
"BMW","iX1 eDrive20 M Sport",31244,"Automatic","electric",2327,2024
"BMW","iX2 xDrive30 M Sport",36950,"Automatic","electric",11002,2024
"BMW","iX2 xDrive30 M Sport",39450,"Automatic","electric",4966,2024
